id,year,quantity
1842,2016,381
1847,2001,8
1849,2014,14
1851,2007,1
1853,2002,27
1854,2002,50
1856,2013,2
1859,2005,195
1864,2003,48
1865,2004,2000
1868,2015,45
1869,2000,506
1870,2001,91
1871,1997,419
1873,2016,809
1875,2016,387
1878,2002,20
1879,2005,235
1880,2016,3
1881,2013,558
1882,1998,224
1884,2007,1402
1886,2013,4
1887,1986,6
1889,1996,17
1890,1976,390
1891,1987,35
1893,2010,884
1894,1991,110
1895,2007,123
1899,2014,214
1901,2011,2073
1902,1986,467
1903,1980,8
1907,2002,173
1910,1997,80
1912,1998,276
1913,1990,4
1914,2016,193
1917,1976,159
1919,2004,10
1921,1966,16
1922,1987,17
1923,1999,133
1927,1976,60
1928,2006,202
1929,2010,1516
1930,2012,729
1932,2012,95
1933,1969,5
1934,1989,26
1937,2001,8
1939,2001,26
1945,1987,12
1946,1995,356
1948,2001,13
1949,1994,217
1950,2006,68
1952,1995,78
1953,2002,3
1954,2012,36
1955,2005,13
1958,2004,12
1960,2009,1
1961,1973,47
1962,2008,53
1963,2016,158
1965,2008,159
1966,1983,190
1968,2013,1
1969,2012,75
1970,2011,62
1971,1996,40
1972,2003,45
1973,1967,712
1974,2007,220
1976,2005,109
1977,2004,7
1978,2006,568
1979,1966,34
1981,2016,24
1983,1993,18
1984,2000,100
1986,2013,3
1987,2015,159
1991,1950,1
1993,2014,205
1996,1987,331
1997,1976,67
1998,2014,104
2000,2016,21
2001,2013,659
2002,1993,261
2004,2003,101
2010,1997,13
2011,1978,319
2013,2014,3
2014,2011,7
2015,2003,46
2016,2014,2
2017,1966,6
2021,1989,56
2022,1968,103
2024,2000,90
2025,2012,3
2026,2005,40
2028,1965,35
2033,2000,50
2035,2007,50
2039,1973,240
2040,2003,109
2041,2011,303
2042,1991,50
2045,2008,14
2046,2009,28
2047,2006,186
2048,1978,150
2050,2005,64
2053,2013,99
2055,2009,54
2056,1986,258
2057,2012,152
2060,1989,1
2062,2015,286
2064,2015,18
2065,1984,3
2067,2007,18
2068,2011,1
2069,1993,384
2071,2006,23
2072,2003,328
2073,2015,112
2074,2000,25
2076,2005,67
2082,2011,523
2083,1971,90
2084,2012,360
2085,2012,2
2086,2010,499
2088,2012,49
2089,1998,49
2090,1988,32
2093,1971,35
2096,1990,22
2097,2007,167
2101,2005,260
2102,1969,39
2105,2015,29
2107,2004,200
2109,2011,1353
2110,1984,34
2111,1978,110
2112,2015,597
2113,1985,104
2114,1988,13
2116,2016,65
2117,1993,41
2118,2009,401
2119,2009,50
2120,1987,3
2123,1998,14
2124,1966,20
2125,1979,81
2126,2014,1752
2128,2011,45
2129,1998,324
2130,2002,45
2131,2013,31
2132,1985,18
2134,2005,42
2135,1956,5
2137,1974,59
2138,1995,404
2139,1989,19
2140,1964,170
2143,1985,1
2144,2003,94
2145,2006,95
2147,2013,106
2148,1985,511
2150,1986,201
2151,1996,8
2152,2008,826
2154,2011,145
2155,1996,950
2159,2002,121
2161,2014,96
2162,1995,64
2163,2016,249
2164,2014,21
2166,1984,1
2167,2001,20
2169,1989,19
2170,1979,157
2171,2006,217
2172,1995,3
2173,2011,1
2174,1996,209
2175,1987,2
2176,2017,3
2178,2002,1
2179,1971,178
2180,2012,227
2181,2008,237
2182,2014,307
2185,2016,4
2188,2012,16
2191,2015,866
2193,2015,90
2195,2000,53
2196,1982,8
2197,1997,60
2198,2011,49
2201,1990,464
2203,1969,1
2205,2005,14
2209,1984,43
2210,1994,68
2211,2010,981
2213,2008,370
2214,2010,130
2217,2016,226
2219,2010,88
2220,1990,1
2222,2004,178
2223,2007,382
2224,2013,87
2225,2003,103
2226,2015,62
2227,1985,13
2228,2000,15
2230,2014,271
2234,2015,156
2237,2006,1
2240,2014,48
2241,1994,139
2242,2000,59
2243,2003,264
2244,2012,17
2245,2007,69
2246,1997,28
2247,2014,2
2248,2011,548
2250,2002,29
2251,1987,32
2252,2010,199
2253,2006,56
2254,1986,4
2257,1974,174
2259,1987,11
2260,2014,29
2261,2013,1
2262,2016,244
2263,2011,777
2264,1955,6
2265,2016,70
2266,1997,227
2267,2008,2316
2268,2010,688
2274,2013,412
2275,2000,50
2276,1980,4
2279,2006,24
2280,1969,39
2282,2010,2
2284,1986,290
2285,2016,10
2286,2001,42
2287,2012,238
2288,2015,291
2289,1967,44
2290,2003,45
2291,1996,1
2292,1976,25
2293,2012,229
2294,1989,627
2297,1991,77
2301,2014,135
2302,2007,26
2304,2004,3
2308,1958,40
2309,2001,4
2310,2014,60
2311,2010,25
2313,2006,393
2314,2000,15
2317,2012,145
2318,2013,25
2321,1989,1
2322,2004,37
2323,2015,44
2325,2013,247
2326,1986,58
2328,2010,3
2329,2006,1004
2331,2002,316
2334,2013,792
2335,1987,190
2336,2009,69
2337,2005,19
2338,2008,8
2339,2014,48
2342,1957,51
2344,2014,95
2346,2016,188
2349,2012,15
2350,2013,78
2351,2016,253
2352,2015,84
2353,2016,1
2354,2014,315
2355,1993,274
2356,2004,141
2357,2006,398
2358,2008,664
2359,2016,4
2361,1998,74
2362,2011,63
2363,2011,1078
2365,1979,216
2366,1998,9
2367,1979,38
2368,2011,230
2371,2011,637
2372,2012,315
2373,2004,100
2375,2016,287
2376,2016,1
2377,2014,707
2379,1977,2
