year,set_num,id,version
2018,10757-1,23356,1
2018,10758-1,23041,1
2018,10759-1,24337,1
2018,10760-1,23689,1
1999,1076-1,1279,1
2018,10761-1,23688,1
2018,10762-1,24618,1
2018,10763-1,24619,1
2018,10764-1,24620,1
2018,10765-1,25480,1
2019,10766-1,32746,1
2019,10767-1,34428,1
2019,10768-1,34429,1
2019,10769-1,32744,1
2019,10770-1,32720,1
1976,1077-1,1187,1
2019,10771-1,32745,1
2021,10772-1,100237,1
2021,10773-1,100240,1
2021,10774-1,100239,1
2021,10775-1,100243,1
2021,10776-1,100238,1
2022,10781-1,120152,1
2022,10782-1,120153,1
2022,10783-1,120154,1
2022,10784-1,120155,1
1987,1079-1,81767,1
2016,10801-1,7519,1
2016,10802-1,15167,1
2016,10803-1,1154,1
2016,10804-1,10492,1
2016,10805-1,13105,1
2016,10806-1,8177,1
2016,10807-1,19454,1
2016,10808-1,8939,1
2016,10809-1,19389,1
1976,108-1,4489,1
2016,10810-1,17405,1
2016,10811-1,19289,1
2016,10812-1,19430,1
2016,10813-1,11607,1
2016,10814-1,8925,1
2016,10815-1,19781,1
2016,10816-1,19467,1
2016,10817-1,19504,1
2016,10818-1,1560,1
2016,10819-1,19405,1
2016,10820-1,16427,1
2016,10822-1,19549,1
2017,10823-1,19553,1
2016,10824-1,16806,1
2016,10825-1,16463,1
2016,10826-1,16808,1
2016,10827-1,6581,1
2016,10828-1,19604,1
2016,10829-1,1307,1
2016,10830-1,2798,1
1986,1083-1,13039,1
2016,10831-1,7003,1
2017,10832-1,19554,1
2017,10833-1,19526,1
2017,10834-1,19395,1
2017,10835-1,19630,1
2017,10836-1,19390,1
2017,10837-1,19442,1
2017,10838-1,19658,1
2017,10839-1,19555,1
2017,10840-1,19391,1
2017,10841-1,19631,1
2017,10842-1,20929,1
2017,10843-1,19431,1
2017,10844-1,19551,1
2017,10845-1,19428,1
2017,10846-1,21092,1
2017,10847-1,13079,1
2017,10848-1,19898,1
